service_id,date,exception_type
O_10_3,20260102,1
O_10_1,20260102,2
O_10_3,20260103,1
O_10_2,20260103,2
O_10_3,20260112,1
O_10_1,20260112,2
O_10_4,20260101,1
O_10_1,20260101,2
O_11_3,20260102,1
O_11_1,20260102,2
O_11_3,20260103,1
O_11_2,20260103,2
O_11_3,20260112,1
O_11_1,20260112,2
O_11_4,20260101,1
O_11_1,20260101,2
O_20_3,20260102,1
O_20_1,20260102,2
O_20_3,20260103,1
O_20_2,20260103,2
O_20_3,20260112,1
O_20_1,20260112,2
O_20_4,20260101,1
O_20_1,20260101,2
O_30_3,20260102,1
O_30_1,20260102,2
O_30_3,20260103,1
O_30_2,20260103,2
O_30_3,20260112,1
O_30_1,20260112,2
O_30_4,20260101,1
O_30_1,20260101,2
O_40_3,20260102,1
O_40_1,20260102,2
O_40_3,20260103,1
O_40_2,20260103,2
O_40_3,20260112,1
O_40_1,20260112,2
O_40_4,20260101,1
O_40_1,20260101,2
O_41_3,20260102,1
O_41_1,20260102,2
O_41_3,20260103,1
O_41_2,20260103,2
O_41_3,20260112,1
O_41_1,20260112,2
O_41_4,20260101,1
O_41_1,20260101,2
O_50_3,20260102,1
O_50_1,20260102,2
O_50_3,20260103,1
O_50_2,20260103,2
O_50_3,20260112,1
O_50_1,20260112,2
O_50_4,20260101,1
O_50_1,20260101,2
