jp_pattern_id,route_update_date,origin_stop,via_stop,destination_stop
102021_1,20260101,市営バス東仙台営業所前,宮城野区役所・錦町・県庁市役所,市営バス川内営業所前
102051_1,20260101,市営バス東仙台営業所前,宮城野区役所・原町,仙台駅前
102051_2,20260101,仙台駅前,原町・宮城野区役所,市営バス東仙台営業所前
102111_1,20260101,新田二丁目東,宮城野区役所・仙台駅・県庁市役所,交通局東北大学病院前
102111_2,20260101,交通局東北大学病院前,原町・宮城野区役所・平成,新田二丁目東
102251_1,20260101,市営バス東仙台営業所前,中江・東北大学病院・澱橋通,広瀬通一番町
102251_2,20260101,広瀬通一番町,東北大学病院・中江・二の森,市営バス東仙台営業所前
102271_1,20260101,市営バス東仙台営業所前,二の森・中江・県庁市役所,仙台駅前
102271_2,20260101,仙台駅前,県庁市役所・中江・二の森,市営バス東仙台営業所前
102951_1,20260101,市営バス東仙台営業所前,宮城野区役所・原町,仙台駅前
104011_1,20260101,仙台駅前,県庁市役所・台原駅,仙台駅前
104011_2,20260101,仙台駅前,宮町・台原駅,仙台駅前
104101_1,20260101,台原駅,宮町,仙台駅前
104101_2,20260101,仙台駅前,宮町・小松島三丁目,台原駅
105021_1,20260101,仙台駅前,広瀬通・二高県美術館・交通公園,仙台駅前
105021_2,20260101,仙台駅前,東北大学病院・尚絅学院・宮城一高,仙台駅前
105111_1,20260101,市営バス川内営業所前,広瀬通駅,仙台駅前
105111_2,20260101,仙台駅前,広瀬通・二高県美術館,市営バス川内営業所前
105161_1,20260101,市営バス川内営業所前,県庁市役所,仙台駅前
105161_2,20260101,仙台駅前,東北大学病院・尚絅学院・宮城一高,市営バス川内営業所前
105301_1,20260101,市営バス川内営業所前,八幡町・県庁市役所,仙台駅前
106501_1,20260101,八木山動物公園駅,霊屋橋・定禅寺通市役所,交通局東北大学病院前
106501_2,20260101,交通局東北大学病院前,霊屋橋,八木山動物公園駅
106511_1,20260101,八木山動物公園駅,霊屋橋・定禅寺通市役所,交通局東北大学病院前
106551_1,20260101,八木山動物公園駅,愛宕大橋・県庁市役所,交通局東北大学病院前
106551_2,20260101,交通局東北大学病院前,愛宕大橋,八木山動物公園駅
106561_1,20260101,八木山動物公園駅,愛宕大橋・県庁市役所,交通局東北大学病院前
106571_2,20260101,交通局東北大学病院前,愛宕大橋,八木山動物公園駅
106601_1,20260101,八木山動物公園駅,霊屋橋,仙台駅前
