route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
10000,8000020041009,10,,,3,,A3D742,050505,
10001,8000020041009,10,,,3,,A3D742,050505,
10002,8000020041009,10,,,3,,A3D742,050505,
10003,8000020041009,10,,,3,,A3D742,050505,
10004,8000020041009,10,,,3,,A3D742,050505,
10005,8000020041009,11,,,3,,A3D742,050505,
10006,8000020041009,110,,,3,,A3D742,050505,
10007,8000020041009,115,,,3,,A3D742,050505,
10008,8000020041009,12,,,3,,A3D742,050505,
10009,8000020041009,120,,,3,,A3D742,050505,
10010,8000020041009,13,,,3,,A3D742,050505,
10011,8000020041009,130,,,3,,A3D742,050505,
10012,8000020041009,135,,,3,,A3D742,050505,
10013,8000020041009,14,,,3,,A3D742,050505,
10015,8000020041009,15,,,3,,A3D742,050505,
10016,8000020041009,15,,,3,,A3D742,050505,
10017,8000020041009,15,,,3,,A3D742,050505,
10018,8000020041009,15,,,3,,A3D742,050505,
10019,8000020041009,15,,,3,,A3D742,050505,
10020,8000020041009,159,,,3,,A3D742,050505,
10021,8000020041009,16,,,3,,A3D742,050505,
10022,8000020041009,16,,,3,,A3D742,050505,
10023,8000020041009,160,,,3,,A3D742,050505,
10024,8000020041009,161,,,3,,A3D742,050505,
10025,8000020041009,17,,,3,,A3D742,050505,
10027,8000020041009,18,,,3,,A3D742,050505,
10028,8000020041009,18,,,3,,A3D742,050505,
10029,8000020041009,19,,,3,,A3D742,050505,
10030,8000020041009,20,,,3,,A3D742,050505,
10032,8000020041009,20,,,3,,A3D742,050505,
10033,8000020041009,20,,,3,,A3D742,050505,
10034,8000020041009,20,,,3,,A3D742,050505,
10035,8000020041009,200,,,3,,A3D742,050505,
10036,8000020041009,205,,,3,,A3D742,050505,
10037,8000020041009,207,,,3,,A3D742,050505,
10038,8000020041009,21,,,3,,A3D742,050505,
10039,8000020041009,21,,,3,,A3D742,050505,
10040,8000020041009,210,,,3,,A3D742,050505,
10041,8000020041009,211,,,3,,A3D742,050505,
10042,8000020041009,213,,,3,,A3D742,050505,
10043,8000020041009,215,,,3,,A3D742,050505,
10044,8000020041009,22,,,3,,A3D742,050505,
10045,8000020041009,220,,,3,,A3D742,050505,
10046,8000020041009,23,,,3,,A3D742,050505,
10047,8000020041009,230,,,3,,A3D742,050505,
10048,8000020041009,233,,,3,,A3D742,050505,
10049,8000020041009,240,,,3,,A3D742,050505,
10051,8000020041009,25,,,3,,A3D742,050505,
10052,8000020041009,25,,,3,,A3D742,050505,
10053,8000020041009,25,,,3,,A3D742,050505,
10054,8000020041009,250,,,3,,A3D742,050505,
10055,8000020041009,259,,,3,,A3D742,050505,
10056,8000020041009,26,,,3,,A3D742,050505,
10057,8000020041009,28,,,3,,A3D742,050505,
10058,8000020041009,29,,,3,,A3D742,050505,
10059,8000020041009,30,,,3,,A3D742,050505,
10060,8000020041009,30,,,3,,A3D742,050505,
10061,8000020041009,30,,,3,,A3D742,050505,
10062,8000020041009,30,,,3,,A3D742,050505,
10063,8000020041009,30,,,3,,A3D742,050505,
10064,8000020041009,30,,,3,,A3D742,050505,
10065,8000020041009,308,,,3,,A3D742,050505,
10066,8000020041009,32,,,3,,A3D742,050505,
10067,8000020041009,320,,,3,,A3D742,050505,
10068,8000020041009,35,,,3,,A3D742,050505,
10069,8000020041009,36,,,3,,A3D742,050505,
10070,8000020041009,36,,,3,,A3D742,050505,
10071,8000020041009,38,,,3,,A3D742,050505,
10072,8000020041009,40,,,3,,A3D742,050505,
10074,8000020041009,40,,,3,,A3D742,050505,
10075,8000020041009,41,,,3,,A3D742,050505,
10076,8000020041009,411,,,3,,A3D742,050505,
10080,8000020041009,43,,,3,,A3D742,050505,
10081,8000020041009,45,,,3,,A3D742,050505,
10083,8000020041009,45,,,3,,A3D742,050505,
10084,8000020041009,450,,,3,,A3D742,050505,
10085,8000020041009,47,,,3,,A3D742,050505,
10086,8000020041009,470,,,3,,A3D742,050505,
10087,8000020041009,48,,,3,,A3D742,050505,
10088,8000020041009,49,,,3,,A3D742,050505,
10089,8000020041009,50,,,3,,A3D742,050505,
10091,8000020041009,500,,,3,,A3D742,050505,
10092,8000020041009,506,,,3,,A3D742,050505,
10093,8000020041009,512,,,3,,A3D742,050505,
10094,8000020041009,516,,,3,,A3D742,050505,
10095,8000020041009,535,,,3,,A3D742,050505,
10096,8000020041009,540,,,3,,A3D742,050505,
10097,8000020041009,545,,,3,,A3D742,050505,
10098,8000020041009,55,,,3,,A3D742,050505,
10099,8000020041009,560,,,3,,A3D742,050505,
10100,8000020041009,57,,,3,,A3D742,050505,
10101,8000020041009,58,,,3,,A3D742,050505,
10102,8000020041009,59,,,3,,A3D742,050505,
10103,8000020041009,60,,,3,,A3D742,050505,
10104,8000020041009,60,,,3,,A3D742,050505,
10105,8000020041009,60,,,3,,A3D742,050505,
10106,8000020041009,60,,,3,,A3D742,050505,
10107,8000020041009,601,,,3,,A3D742,050505,
10108,8000020041009,610,,,3,,A3D742,050505,
10109,8000020041009,620,,,3,,A3D742,050505,
10110,8000020041009,628,,,3,,A3D742,050505,
10111,8000020041009,65,,,3,,A3D742,050505,
10112,8000020041009,70,,,3,,A3D742,050505,
10113,8000020041009,70,,,3,,A3D742,050505,
10114,8000020041009,70,,,3,,A3D742,050505,
10115,8000020041009,701,,,3,,A3D742,050505,
10116,8000020041009,704,,,3,,A3D742,050505,
10117,8000020041009,706,,,3,,A3D742,050505,
10119,8000020041009,71,,,3,,A3D742,050505,
10120,8000020041009,72,,,3,,A3D742,050505,
10121,8000020041009,73,,,3,,A3D742,050505,
10122,8000020041009,73,,,3,,A3D742,050505,
10123,8000020041009,730,,,3,,A3D742,050505,
10124,8000020041009,739,,,3,,A3D742,050505,
10125,8000020041009,75,,,3,,A3D742,050505,
10126,8000020041009,75,,,3,,A3D742,050505,
10128,8000020041009,75,,,3,,A3D742,050505,
10129,8000020041009,76,,,3,,A3D742,050505,
10130,8000020041009,760,,,3,,A3D742,050505,
10131,8000020041009,761,,,3,,A3D742,050505,
10132,8000020041009,765,,,3,,A3D742,050505,
10133,8000020041009,766,,,3,,A3D742,050505,
10134,8000020041009,77,,,3,,A3D742,050505,
10135,8000020041009,77,,,3,,A3D742,050505,
10136,8000020041009,770,,,3,,A3D742,050505,
10137,8000020041009,78,,,3,,A3D742,050505,
10138,8000020041009,780,,,3,,A3D742,050505,
10139,8000020041009,785,,,3,,A3D742,050505,
10140,8000020041009,80,,,3,,A3D742,050505,
10141,8000020041009,80,,,3,,A3D742,050505,
10142,8000020041009,80,,,3,,A3D742,050505,
10143,8000020041009,800,,,3,,A3D742,050505,
10144,8000020041009,810,,,3,,A3D742,050505,
10145,8000020041009,815,,,3,,A3D742,050505,
10146,8000020041009,821,,,3,,A3D742,050505,
10147,8000020041009,825,,,3,,A3D742,050505,
10148,8000020041009,83,,,3,,A3D742,050505,
10149,8000020041009,830,,,3,,A3D742,050505,
10150,8000020041009,839,,,3,,A3D742,050505,
10151,8000020041009,84,,,3,,A3D742,050505,
10152,8000020041009,840,,,3,,A3D742,050505,
10153,8000020041009,843,,,3,,A3D742,050505,
10154,8000020041009,844,,,3,,A3D742,050505,
10155,8000020041009,845,,,3,,A3D742,050505,
10156,8000020041009,846,,,3,,A3D742,050505,
10157,8000020041009,85,,,3,,A3D742,050505,
10158,8000020041009,85,,,3,,A3D742,050505,
10159,8000020041009,850,,,3,,A3D742,050505,
10160,8000020041009,851,,,3,,A3D742,050505,
10161,8000020041009,855,,,3,,A3D742,050505,
10162,8000020041009,856,,,3,,A3D742,050505,
10163,8000020041009,86,,,3,,A3D742,050505,
10164,8000020041009,860,,,3,,A3D742,050505,
10165,8000020041009,861,,,3,,A3D742,050505,
