table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,あおば通駅,,,あおば通駅
stops,stop_name,en,Aoba-dori Eki (Aoba-dori Station),,,あおば通駅
stops,stop_name,ja-Hrkt,あおばどおりえき,,,あおば通駅
stops,stop_name,ja,いずみ墓園管理事務所前,,,いずみ墓園管理事務所前
stops,stop_name,en,Izumi Boen Kanri Jimusho Mae,,,いずみ墓園管理事務所前
stops,stop_name,ja-Hrkt,いずみぼえんかんりじむしょまえ,,,いずみ墓園管理事務所前
stops,stop_name,ja,こまくさ苑前,,,こまくさ苑前
stops,stop_name,en,Komakusaen Mae,,,こまくさ苑前
stops,stop_name,ja-Hrkt,こまくさえんまえ,,,こまくさ苑前
stops,stop_name,ja,みやぎ台一丁目,,,みやぎ台一丁目
stops,stop_name,en,Miyagidai-itchome,,,みやぎ台一丁目
stops,stop_name,ja-Hrkt,みやぎだい１,,,みやぎ台一丁目
stops,stop_name,ja,みやぎ台三丁目,,,みやぎ台三丁目
stops,stop_name,en,Miyagidai-sanchome,,,みやぎ台三丁目
stops,stop_name,ja-Hrkt,みやぎだい３,,,みやぎ台三丁目
stops,stop_name,ja,みやぎ台二丁目,,,みやぎ台二丁目
stops,stop_name,en,Miyagidai-nichome,,,みやぎ台二丁目
stops,stop_name,ja-Hrkt,みやぎだい２,,,みやぎ台二丁目
stops,stop_name,ja,みやぎ台二丁目東,,,みやぎ台二丁目東
stops,stop_name,en,Miyagidai-nichome-higashi,,,みやぎ台二丁目東
stops,stop_name,ja-Hrkt,みやぎだい２ひがし,,,みやぎ台二丁目東
stops,stop_name,ja,みやぎ台五丁目,,,みやぎ台五丁目
stops,stop_name,en,Miyagidai-gochome,,,みやぎ台五丁目
stops,stop_name,ja-Hrkt,みやぎだい５,,,みやぎ台五丁目
stops,stop_name,ja,みやぎ台入口,,,みやぎ台入口
stops,stop_name,en,Miyagidai Iriguchi,,,みやぎ台入口
stops,stop_name,ja-Hrkt,みやぎだいいりぐち,,,みやぎ台入口
stops,stop_name,ja,みやぎ台四丁目,,,みやぎ台四丁目
stops,stop_name,en,Miyagidai-yonchome,,,みやぎ台四丁目
stops,stop_name,ja-Hrkt,みやぎだい４,,,みやぎ台四丁目
stops,stop_name,ja,オープン病院・教育センター前,,,オープン病院・教育センター前
stops,stop_name,en,Open Byoin／Kyoiku Center Mae (Sendai Open Hospital),,,オープン病院・教育センター前
stops,stop_name,ja-Hrkt,おーぷんびょういんきょういくせんたーまえ,,,オープン病院・教育センター前
stops,stop_name,ja,ガス局前,,,ガス局前
stops,stop_name,en,Gaskyoku Mae (Sendai City Gas Bureau),,,ガス局前
stops,stop_name,ja-Hrkt,がすきょくまえ,,,ガス局前
stops,stop_name,ja,スプリングバレー仙台泉スキー場,,,スプリングバレー仙台泉スキー場
stops,stop_name,en,Spring Valley Sendai Izumi Skijo,,,スプリングバレー仙台泉スキー場
stops,stop_name,ja-Hrkt,すぷりんぐばれーせんだいいずみすきーじょう,,,スプリングバレー仙台泉スキー場
stops,stop_name,ja,トラックターミナル・中税務署入口,,,トラックターミナル・中税務署入口
stops,stop_name,en,Truck Terminal／Naka zeimusho Iriguchi,,,トラックターミナル・中税務署入口
stops,stop_name,ja-Hrkt,とらっくたーみなるなかぜいむしょいりぐち,,,トラックターミナル・中税務署入口
stops,stop_name,ja,ドミニコ学院前,,,ドミニコ学院前
stops,stop_name,en,Dominiko Gakuin Mae,,,ドミニコ学院前
stops,stop_name,ja-Hrkt,どみにこがくいんまえ,,,ドミニコ学院前
stops,stop_name,ja,ナノテラス入口,,,ナノテラス入口
stops,stop_name,en,NanoTerasu Iriguchi,,,ナノテラス入口
stops,stop_name,ja-Hrkt,なのてらすいりぐち,,,ナノテラス入口
stops,stop_name,ja,ニッカ橋,,,ニッカ橋
stops,stop_name,en,Nikka-bashi (Nikka Whisky Sendai Distillery),,,ニッカ橋
stops,stop_name,ja-Hrkt,にっかばし,,,ニッカ橋
stops,stop_name,ja,メディアテーク前,,,メディアテーク前
stops,stop_name,en,Mediatheque Mae (Sendai Mediatheque),,,メディアテーク前
stops,stop_name,ja-Hrkt,めでぃあてーくまえ,,,メディアテーク前
stops,stop_name,ja,一本杉町,,,一本杉町
stops,stop_name,en,Ipponsugimachi,,,一本杉町
stops,stop_name,ja-Hrkt,いっぽんすぎまち,,,一本杉町
stops,stop_name,ja,一本杉町交差点,,,一本杉町交差点
stops,stop_name,en,Ipponsugimati Kosaten,,,一本杉町交差点
stops,stop_name,ja-Hrkt,いっぽんすぎまちこうさてん,,,一本杉町交差点
stops,stop_name,ja,一本杉町東,,,一本杉町東
stops,stop_name,en,Ipponsugimachi-higashi,,,一本杉町東
stops,stop_name,ja-Hrkt,いっぽんすぎまちひがし,,,一本杉町東
stops,stop_name,ja,七北田ダム入口,,,七北田ダム入口
stops,stop_name,en,Nanakita Dam Iriguchi,,,七北田ダム入口
stops,stop_name,ja-Hrkt,ななきただむいりぐち,,,七北田ダム入口
stops,stop_name,ja,七北田公園西口,,,七北田公園西口
stops,stop_name,en,Nanakita-koen Nishiguchi,,,七北田公園西口
stops,stop_name,ja-Hrkt,ななきたこうえんにしぐち,,,七北田公園西口
stops,stop_name,ja,七森,,,七森
stops,stop_name,en,Nanamori,,,七森
stops,stop_name,ja-Hrkt,ななもり,,,七森
stops,stop_name,ja,七郷中学校前,,,七郷中学校前
stops,stop_name,en,Shichigo Chugakko Mae,,,七郷中学校前
stops,stop_name,ja-Hrkt,しちごうちゅうがっこうまえ,,,七郷中学校前
stops,stop_name,ja,七郷小学校前,,,七郷小学校前
stops,stop_name,en,Shichigo Shogakko Mae,,,七郷小学校前
stops,stop_name,ja-Hrkt,しちごうしょうがっこうまえ,,,七郷小学校前
